# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         2.67096     2.62037e-06     2.62037e-06     2.62037e-06
          2.8401     2.25324e-06     2.25324e-06     2.25324e-06
         3.01995     1.93653e-06     1.93653e-06     1.93653e-06
         3.21119     1.66348e-06     1.66348e-06     1.66348e-06
         3.41455     1.42821e-06     1.42821e-06     1.42821e-06
         3.63078     1.22561e-06     1.22561e-06     1.22561e-06
         3.86071     1.05125e-06     1.05125e-06     1.05125e-06
         4.10519     9.01268e-07     9.01268e-07     9.01268e-07
         4.36516     7.72331e-07     7.72331e-07     7.72331e-07
         4.64159     6.61542e-07     6.61542e-07     6.61542e-07
         4.93552     5.66398e-07     5.66398e-07     5.66398e-07
         5.24807     4.84729e-07     4.84729e-07     4.84729e-07
         5.58042     4.14663e-07     4.14663e-07     4.14663e-07
         5.93381     3.54579e-07     3.54579e-07     3.54579e-07
         6.30957      3.0308e-07      3.0308e-07      3.0308e-07
         6.70914     2.58959e-07     2.58959e-07     2.58959e-07
           7.134     2.21177e-07     2.21177e-07     2.21177e-07
         7.58578     1.88836e-07     1.88836e-07     1.88836e-07
         8.06616     1.61166e-07     1.61166e-07     1.61166e-07
         8.57696     1.37501e-07     1.37501e-07     1.37501e-07
         9.12011     1.17269e-07     1.17269e-07     1.17269e-07
         9.69765     9.99807e-08     9.99807e-08     9.99807e-08
         10.3118     8.52124e-08     8.52124e-08     8.52124e-08
         10.9648     7.26019e-08     7.26019e-08     7.26019e-08
         11.6591     6.18378e-08     6.18378e-08     6.18378e-08
         12.3975     5.26532e-08     5.26532e-08     5.26532e-08
         13.1826      4.4819e-08      4.4819e-08      4.4819e-08
         14.0174     3.81391e-08     3.81391e-08     3.81391e-08
          14.905     3.24452e-08     3.24452e-08     3.24452e-08
         15.8489     2.75936e-08     2.75936e-08     2.75936e-08
         16.8526     2.34608e-08     2.34608e-08     2.34608e-08
         17.9198     1.99415e-08     1.99415e-08     1.99415e-08
         19.0546     1.69456e-08     1.69456e-08     1.69456e-08
         20.2613      1.4396e-08      1.4396e-08      1.4396e-08
         21.5443     1.22269e-08     1.22269e-08     1.22269e-08
         22.9087      1.0382e-08      1.0382e-08      1.0382e-08
         24.3594     8.81329e-09     8.81329e-09     8.81329e-09
          25.902      7.4798e-09      7.4798e-09      7.4798e-09
         27.5423     6.34657e-09     6.34657e-09     6.34657e-09
         29.2864     5.38379e-09     5.38379e-09     5.38379e-09
         31.1411     4.56602e-09     4.56602e-09     4.56602e-09
         33.1131      3.8716e-09      3.8716e-09      3.8716e-09
         35.2101     3.28208e-09     3.28208e-09     3.28208e-09
